{4248}chengxuerru 乘虚而入
{159}chengyexiaohe 成也萧何
{103}chengzheweiwang 成者为王
{4260}chengzhuzaixiong 成竹在胸
{4224}chiboshangzhen 赤膊上阵
{4240}chibuliaodouzhezou 吃不了兜着走
{4223}chichengxiangdai 赤诚相待
{4228}chichubuqian 踟蹰不前
{4226}chichuanpianwa 尺椽片瓦
{4235}chichuanyongdu 吃穿用度
{4227}chicunzhigong 尺寸之功
{4222}chidanzhongxin 赤胆忠心
{4221}chidiqianli 赤地千里
{4225}chiduancunchang 尺短寸长
{4236}chilipawai 吃里爬外
{4242}chimeiwangliang 魑魅魍魉
{4229}chimingzhongwai 驰名中外
{4234}chimuhuwen 鸱目虎吻
{4232}chimuzhinian 迟暮之年
{4244}chinanyuannv 痴男怨女
{4243}chirenshuomeng 痴人说梦
{4220}chishenluti 赤身露体
{4219}chishoukongquan 赤手空拳
{4241}chixinwangxiang 痴心妄想
{155}chiyiqian 吃一堑
{100}chiyousuoduan 尺有所短
{4230}chiyuzhiyang 池鱼之殃
{4217}chizhafengyun 叱咤风云
{4233}chizhiyibi 嗤之以鼻
{4231}chizhiyiheng 持之以恒
{4218}chizizhixin 赤子之心
{4212}chongdaofuzhe 重蹈覆辙
{4216}chongerbuwen 充耳不闻
{4215}chongfengxianzhen 冲锋陷阵
{4211}chongjiantianri 重见天日
{4210}chongluandiezhang 重峦叠嶂
{4214}chonglunhongyi 崇论闳议
{4206}chongrubujing 宠辱不惊
{4213}chongshanjunling 崇山峻岭
{4209}chongshengfumu 重生父母
{4208}chongwenjiumeng 重温旧梦
{4207}chongzhengqigu 重整旗鼓
{4194}choubukewen 臭不可闻
{4200}chouchangbaijie 愁肠百结
{4199}chouchangcunduan 愁肠寸断
{4202}chouchubuqian 踌躇不前
{4201}chouchumanzhi 踌躇满志
{4205}choudaoduanshui 抽刀断水
{4198}choumeibuzhan 愁眉不展
{4197}choumeikulian 愁眉苦脸
{4193}choumingyuanyang 臭名远扬
{4192}choumingzhaozhu 臭名昭著
{99}chourenxiangjian 仇人相见
{4204}chousibaojian 抽丝剥茧
{4195}choutaibaichu 丑态百出
{936}chouweixiangtou 臭味相投
{4203}chouxinzhifei 抽薪止沸
{4196}chouyuncanwu 愁云惨雾
{4171}chubaoanliang 除暴安良
{4167}chucaijinyong 楚材晋用
{4166}chuchukelian 楚楚可怜
{4191}chuchumaolu 初出茅庐
{4170}chuewujin 除恶务尽
{4187}chuerfaner 出尔反尔
{4186}chuguailouchou 出乖露丑
{4165}chujiehanhe 楚界汉河
{4160}chujingshengqing 触景生情
{4169}chujiubuxin 除旧布新
{4163}chujiuzhijiao 杵臼之交
{4185}chukouchengzhang 出口成章
{4184}chukoushangren 出口伤人
{4183}chuleibacui 出类拔萃
{4159}chuleipangtong 触类旁通
{4188}chuliyongcai 樗栎庸材
{4190}chulufengmang 初露锋芒
{4182}chumowuchang 出没无常
{4181}chumouhuace 出谋画策
{4158}chumujingxin 触目惊心
{4180}chuqibuyi 出其不意
{4179}chuqizhisheng 出奇制胜
{4168}churaozhijian 刍荛之见
{4178}churentoudi 出人头地
{4177}churenyibiao 出人意表
{4176}chushenruhua 出神入化
{4189}chushengniudubupahu 初生牛犊不怕虎
{4175}chushengrusi 出生入死
{4174}chushibuli 出师不利
{184}chushuifurong 出水芙蓉
{4162}chuxinjilv 处心积虑
{4173}chuyanbuxun 出言不逊
{4172}chuyanwuzhuang 出言无状
{4164}chuyaoxianxi 楚腰纤细
{4161}chuzhitairan 处之泰然
{4154}chuandaoshouye 传道受业
{4157}chuanliubuxi 川流不息
{4155}chuanzaofuhui 穿凿附会
{4156}chuanzhenyinxian 穿针引线
{4153}chuanzongjiedai 传宗接代
{4151}chuangdangjianghu 闯荡江湖
{4152}chuangmingjijing 窗明几净
{4145}chuigongerzhi 垂拱而治
{4148}chuiliantingzheng 垂帘听政
{4150}chuimaoqiuci 吹毛求疵
{4147}chuimingqingshi 垂名青史
{4139}chuimuzhinian 垂暮之年
{4146}chuisizhengzha 垂死挣扎
{4144}chuitousangqi 垂头丧气
{4143}chuixiansanchi 垂涎三尺
{4142}chuixianyudi 垂涎欲滴
{4149}chuixinqixue 椎心泣血
{4141}chuixiongdunzu 捶胸顿足
{4122}chunchixiangyi 唇齿相依
{4117}chunchunyudong 蠢蠢欲动
{4140}chunfengdeyi 春风得意
