{462}qibagexingtianwai 七八个星天外
{326}qibushanzheergaizhi 其不善者而改之
{562}qiluqingweiliao 齐鲁青未了
{506}qitilingruyu 泣涕零如雨
{161}qiwangzhailixunchangjian 岐王宅里寻常见
{28}qiwoquzhe 弃我去者
{123}qizhengyunmengze 气蒸云梦泽
{14}qianbujianguren 前不见古人
{225}qiancaocainengmomati 浅草才能没马蹄
{232}qianligongchanjuan 千里共婵娟
{283}qianlimachangyou 千里马常有
{556}qianliyingtilvyinghong 千里莺啼绿映红
{289}qianmojiaotong 阡陌交通
{43}qianqijuanpinggang 千骑卷平冈
{480}qianshuwanshulihuakai 千树万树梨花开
{415}qianzhangli 千嶂里
{411}qiangguanyouyoushuangmandi 羌管悠悠霜满地
{301}qiezhimeiwozhe 妾之美我者
{41}qinshehu 亲射虎
{297}qinxianchen 亲贤臣
{294}qinxiaoren 亲小人
{151}qingcaochitangchuchuwa 青草池塘处处蛙
{209}qingchenrugusi 清晨入古寺
{113}qingchuanlilihanyangshu 晴川历历汉阳树
{621}qingfengbanyemingchan 清风半夜鸣蝉
{30}qingniaoyinqinweitankan 青鸟殷勤为探看
{136}qingqingyuanzhongkui 青青园中葵
{153}qingshanduguiyuan 青山独归远
{429}qingshanguowaixie 青山郭外斜
{278}qingshucuiman 青树翠蔓
{575}qiufengxiaose 秋风萧瑟
{446}qiutianmomoxianghunhei 秋天漠漠向昏黑
{200}quniantianqijiutingtai 去年天气旧亭台
{468}qushixuemantianshanlu 去时雪满天山路
{7}quanjungengjinyibeijiu 劝君更尽一杯酒
{599}quehuabashanyeyushi 却话巴山夜雨时
{284}ranhouyouqianlima 然后有千里马
{64}renbihuanghuashou 人比黄花瘦
{410}renbumei 人不寐
{451}rennengduimianweidaozei 忍能对面为盗贼
{16}renshengzaishibuchenyi 人生在世不称意
{359}renshengzigushuiwusi 人生自古谁无死
{236}renyoubeihuanlihe 人有悲欢离合
{494}renglianguxiangshui 仍怜故乡水
{111}rimuxiangguanhechushi 日暮乡关何处是
{573}riyuezhixing 日月之行
{147}rujinyijuebuxinxian 如今已觉不新鲜
{72}ruinaoxiaojinshou 瑞脑消金兽
{570}ruochuqili 若出其里
{572}ruochuqizhong 若出其中
{619}saishangyanzhiningyezi 塞上燕脂凝夜紫
{618}saixiaqiulaifengjingyi 塞下秋来风景异
{304}sanerjie 三而竭
{95}sannianjilvke 三年羁旅客
{329}sanrenxing 三人行
{479}sanruzhulianshiluomu 散入珠帘湿罗幕
{52}shachangqiudianbing 沙场秋点兵
{281}shanbuzaigaoyouxianzeming 山不在高有仙则名
{421}shanchongshuifuyiwulu 山重水复疑无路
{578}shandaosongzhi 山岛竦峙
{205}shanguangyueniaoxing 山光悦鸟性
{349}shanhebiaolitongguanlu 山河表里潼关路
{363}shanheposuifengpiaoxu 山河破碎风飘絮
{467}shanhuiluzhuanbujianjun 山回路转不见君
{180}shanjijianlaiyan 山际见来烟
{352}shanpoyangtongguanhuaigu 山坡羊潼关怀古
{540}shanqirixijia 山气日夕佳
{498}shansuipingyejin 山随平野尽
{404}shanxialanyaduanjinxi 山下兰芽短浸溪
{181}shanzhongzashi 山中杂诗
{3}shangsiweiguoshuluntai 尚思为国戍轮台
{346}shangxinqinhanjingxingchu 伤心秦汉经行处
{165}shangyouhuanglishenshuming 上有黄鹂深树鸣
{592}shaoxiaolijialaodahui 少小离家老大回
{128}shaozhuangbunuli 少壮不努力
{317}sheshengerquyizheye 舍生而取义者也
{237}shetianlang 射天狼
{320}sheyuerquxiongzhangzheye 舍鱼而取熊掌者也
{222}shenguisuishou 神龟虽寿
{174}shenlinrenbuzhi 深林人不知
{362}shenshifuchenyudaping 身世浮沉雨打萍
{319}shengyiwosuoyuye 生亦我所欲也
{378}shicichongjichang 拾此充饥肠
{244}shilichou 是离愁
{5}shiyiyuesirifengyudazuo 十一月四日风雨大作
{285}shiyoubole 世有伯乐
{332}shizhiye 是知也
{264}shouzhibukequshen 手指不可屈伸
{577}shumucongsheng 树木丛生
{595}shushengfengdilitingwan 数声风笛离亭晚
{520}shuangzhongguhanshengbuqi 霜重鼓寒声不起
{280}shuibuzaishen 水不在深
{555}shuicunshanguojiuqifeng 水村山郭酒旗风
{401}shuidaorenshengwuzaishao 谁道人生无再少
{579}shuihedandan 水何澹澹
{227}shuijiaxinyanzhuochunni 谁家新燕啄春泥
{228}shuimianchupingyunjiaodi 水面初平云脚低
{92}shuiyantiandikuan 谁言天地宽
{268}shuizhongzaoxingjiaoheng 水中藻荇交横
{241}sicengxiangshiyanguilai 似曾相识燕归来
{335}sierbuxuezedai 思而不学则殆
{168}sijunbujianxiayuzhou 思君不见下渝州
{406}silinlanxi 寺临兰溪
{416}simianbianshenglianjiaoqi 四面边声连角起
{302}siwoye 私我也
{403}songjianshalujingwuni 松间沙路净无泥
