{1246}chusuisanhunengwangqin 楚虽三户能亡秦
{1958}chuwentileimanyishang 初闻涕泪满衣裳
{540}chuxuhaishang 触绪还伤
{2305}chuyunierburan 出淤泥而不染
{2113}chuzewudiguowaihuanzhe 出则无敌国外患者
{1924}chuzhouxijian 滁州西涧
{2658}chuanhuajiadieshenshenjian 穿花蛱蝶深深见
{1150}chuanyupipaxinzizhi 传与琵琶心自知
{2674}chuanghanxilingqianqiuxue 窗含西岭千秋雪
{1986}chuangqianmingyueguang 床前明月光
{589}chuicuixiu 垂翠袖
{1652}chuidengchuanggengming 吹灯窗更明
{3206}chuijinkuangshashidaojin 吹尽狂沙始到金
{68}chuilengchanganyueyouxiaosi 吹冷长安月又萧寺
{318}chuiliusi 垂柳丝
{402}chuiluojiaohong 吹落娇红
{473}chuimengchengjingu 吹梦成今古
{2415}chuimianbuhanyangliufeng 吹面不寒杨柳风
{1780}chuishanglenajia 吹伤了那家
{141}chuiyangnashixiangsishu 垂杨那是相思树
{3377}chuncandaosisifangjin 春蚕到死丝方尽
{988}chunchangfeimaihuaqian 春长费买花钱
{2644}chunchaodaiyuwanlaiji 春潮带雨晚来急
{2646}chunchengwuchubufeihua 春城无处不飞花
{1107}chuncongrenqushuangqidie 春丛认取双栖蝶
{1196}chundaoshanchengkujimo 春到山城苦寂寞
{3270}chunfengbuduyumenguan 春风不度玉门关
{3320}chunfengbugaijiushibo 春风不改旧时波
{2605}chunfengchuiyousheng 春风吹又生
{3255}chunfengdeyimatiji 春风得意马蹄疾
{2718}chunfengfukanluhuanong 春风拂槛露华浓
{1940}chunfenghuacaoxiang 春风花草香
{3196}chunfengsongnuanrutusu 春风送暖入屠苏
{1233}chunfengyibudaotianya 春风疑不到天涯
{2479}chunfengyoulvjiangnanan 春风又绿江南岸
{2757}chunfengzhibieku 春风知别苦
{1222}chunguangaiyubu 春光霭欲布
{541}chunhuaqiuye 春花秋叶
{1513}chunhuaqiuyueheshiliao 春花秋月何时了
{2798}chunjiangchaoshuilianhaiping 春江潮水连海平
{2465}chunjiangshuinuanyaxianzhi 春江水暖鸭先知
{3390}chunlaifajizhi 春来发几枝
{2597}chunlaijiangshuilvrulan 春来江水绿如蓝
{2790}chunmianbujuexiao 春眠不觉晓
{329}chunqian 春浅
{631}chunqingzhidaolihuabo 春情只到梨花薄
{1816}chunri 春日
{1706}chunrioucheng 春日偶成
{2421}chunsemanyuanguanbuzhu 春色满园关不住
{299}chunseyikannongsijiu 春色已看浓似酒
{946}chunwanganhuai 春晚感怀
{1635}chunwang 春望
{3142}chunwangchihan 唇亡齿寒
{1889}chunweijiangshuilvrulan 春为江水绿如蓝
{1066}chunxiao 春宵
{2020}chunxiao 春晓
{1065}chunxiaoyikezhiqianjin 春宵一刻值千金
{2537}chunxinmogonghuazhengfa 春心莫共花争发
{1544}chunxue 春雪
{1946}chunyexiyu 春夜喜雨
{983}chunyouyoushuxingshu 春犹有数行书
{676}chunyunchuisanxianglianyu 春云吹散湘帘雨
{3461}chunzhongyilisu 春种一粒粟
{1505}cidikongyuhuanghelou 此地空馀黄鹤楼
{2763}cidiyiweibie 此地一为别
{1051}cihenbuguanfengyuyue 此恨不关风与月
{796}cihenheshiyi 此恨何时已
{3274}cihenmianmianwujueqi 此恨绵绵无绝期
{787}cihennanpingjunzhifou 此恨难平君知否
{2127}cihouhansuoyiqingtuiye 此后汉所以倾颓也
{15}cihuangyanluozhao 此荒烟落照
{2167}cimushouzhongxian 慈母手中线
{146}ciqingdaigongsheirenxiao 此情待共谁人晓
{3263}ciqingwujikexiaochu 此情无计可消除
{352}ciqingyizichengzhuiyi 此情已自成追忆
{792}ciqujingnian 此去经年
{2301}ciququantaizhaojiubu 此去泉台招旧部
{2672}ciquzhiyingtianshangyou 此曲只应天上有
{1448}cishenheshishirenwei 此身合是诗人未
{961}cishensuizaikanjing 此身虽在堪惊
{1236}cishenxingzuojishantu 此身行作稽山土
{3416}cishigunanquan 此事古难全
{116}cishihuagechuiyangan 此时画阁垂杨岸
{3272}cishiwushengshengyousheng 此时无声胜有声
{1326}cishixiangwangbuxiangwen 此时相望不相闻
{797}cishuijishixiu 此水几时休
{3388}ciwuzuixiangsi 此物最相思
{2130}cixianhansuoyixinglongye 此先汉所以兴隆也
{1349}cixinwuyubaioumeng 此心吾与白鸥盟
{2721}ciyequzhongwenzheliu 此夜曲中闻折柳
{2188}cizhiweidazhangfu 此之谓大丈夫
{440}congcidianwendengying 从此簟纹灯影
{447}congcishangchunshangbie 从此伤春伤别
{3369}congciwuxinailiangye 从此无心爱良夜
{1043}congcixiaolangshiluren 从此萧郎是路人
{3145}congerubeng 从恶如崩
{579}congjiaofenfu 从教分付
{1609}congjinruoxuxianchengyue 从今若许闲乘月
{2012}congjunxing 从军行
{3413}conglaihaoshitianshengjian 从来好事天生俭
{3146}congshanrudeng 从善如登
{928}cuzhier 促织儿
{870}cuifengrucu 翠峰如簇
{684}cuihuaweixiehuanugu 催花未歇花奴鼓
{1947}cuijiutangqianjiduwen 崔九堂前几度闻
{851}cuiniancijinque 翠辇辞金阙
{1701}cunju 村居
{1002}cunkuangxinweishuo 寸狂心未说
{1571}cunwan 村晚
{3014}cunyousuochang 寸有所长
{2309}cunzheqietousheng 存者且偷生
{1819}cunzhuangernvgedangjia 村庄儿女各当家
{635}cuojiaorenhenwuqing 错教人恨无情
{2841}cuowanwuyubiduan 挫万物于笔端
{3234}dabitianxiahanshijuhuanyan 大庇天下寒士俱欢颜
{3107}dabianruone 大辩若讷
{3047}dadaozhixing 大道之行
{1386}daerchudouxidong 大儿锄豆溪东
{2631}dafanwubudeqipingzeming 大凡物不得其平则鸣
{2458}dajiangdongqu 大江东去
{1581}dalinsitaohua 大林寺桃花
{2773}damoguyanzhi 大漠孤烟直
{2571}damosharuxue 大漠沙如雪
{2745}dapengyiritongfengqi 大鹏一日同风起
{3108}daqiaoruozhuo 大巧若拙
{2594}daxiancaocaorujiyu 大弦嘈嘈如急雨
{1717}daxuemangongdao 大雪满弓刀
{2997}dazejianjitianxia 达则兼济天下
{3109}dazhiruoqu 大直若屈
{2591}dazhuxiaozhuluoyupan 大珠小珠落玉盘
{265}daibusiliang 待不思量
{1428}daidaoshanhualanmanshi 待到山花烂漫时
{226}daidelangguihenquexiu 待得郎归恨却休
{970}daiechanglian 黛蛾长敛
{255}daijiangdihuan 待将低唤
{490}daijiege 待结个
{2855}daiyuehechugui 带月荷锄归
{1620}daizongfuruhe 岱宗夫如何
{1753}danailuyumei 但爱鲈鱼美
{1833}danbeibujianjiuzhoutong 但悲不见九州同
{1335}danjianchangjiangsongliushui 但见长江送流水
{1148}dankanfeihongquanhujiu 弹看飞鸿劝胡酒
{565}danlinbieyouyun 但临别有云
{1031}danqingbuzhilaojiangzhi 丹青不知老将至
{3249}danshilongchengfeijiangzai 但使龙城飞将在
{783}dantaishenweiqu 但苔深韦曲
{1088}danweijungu 但为君故
{2004}danwenrenyuxiang 但闻人语响
{89}danyouta 但由他
{1304}danyuanlaosihuajiujian 但愿老死花酒间
{3291}danyuanrenchangjiu 但愿人长久
{393}danzhiliangxiaozongleiling 但值良宵总泪零
